prefix;runID;tick;strategistID;p1;p2;p3;actionExecuted;actualProfit;predictedProfit;level;planningHorizon
null;1;416.0;1;0.41;0.26;0.33;BT3;0.0;0.0;2;50.0;
null;1;418.0;0;0.11;0.53;0.36;RT3;0.0;0.0;2;50.0;
null;1;422.0;1;0.41;0.26;0.33;BT3;0.0;0.0;2;50.0;
null;1;428.0;1;0.41;0.26;0.33;BT3;0.0;0.0;2;50.0;
null;1;434.0;1;0.41;0.26;0.33;BT1;0.0;0.0;2;50.0;
null;1;435.0;0;0.11;0.53;0.36;RT1;0.0;0.0;2;50.0;
null;1;440.0;1;0.41;0.26;0.33;BT2;0.0;0.0;2;50.0;
null;1;446.0;1;0.41;0.26;0.33;BT3;0.0;0.0;2;50.0;
null;1;452.0;1;0.41;0.26;0.33;BT1;0.0;0.0;2;50.0;
null;1;458.0;1;0.14;0.47;0.39;BT1;0.0;0.0;2;50.0;
null;1;464.0;1;0.14;0.47;0.39;BT2;0.0;0.0;2;50.0;
null;1;469.0;0;0.26;0.23;0.51;RT3;0.0;0.0;2;50.0;
null;1;470.0;1;0.14;0.47;0.39;BT2;0.0;0.0;2;50.0;
null;1;476.0;1;0.14;0.47;0.39;BT2;0.0;0.0;2;50.0;
null;1;482.0;1;0.14;0.47;0.39;BT1;0.0;0.0;2;50.0;
null;1;488.0;1;0.14;0.47;0.39;BT2;0.0;0.0;2;50.0;
null;1;494.0;1;0.14;0.47;0.39;BT2;0.0;0.0;2;50.0;
null;1;500.0;1;0.14;0.47;0.39;BT2;0.0;0.0;2;50.0;
null;1;503.0;0;0.26;0.23;0.51;RT3;0.0;0.0;2;50.0;
null;1;506.0;1;0.14;0.47;0.39;BT1;0.0;0.0;2;50.0;
null;1;512.0;1;0.76;0.13;0.11;BT3;0.0;0.0;2;50.0;
null;1;518.0;1;0.76;0.13;0.11;BT3;0.0;0.0;2;50.0;
null;1;524.0;1;0.76;0.13;0.11;BT3;0.0;0.0;2;50.0;
null;1;530.0;1;0.76;0.13;0.11;BT3;0.0;0.0;2;50.0;
null;1;536.0;1;0.76;0.13;0.11;BT3;0.0;0.0;2;50.0;
null;1;537.0;0;0.51;0.1;0.39;RT3;0.0;0.0;2;50.0;
null;1;542.0;1;0.76;0.13;0.11;BT2;0.0;0.0;2;50.0;
null;1;548.0;1;0.76;0.13;0.11;BT1;0.0;0.0;2;50.0;
null;1;554.0;1;0.76;0.13;0.11;BT1;0.0;0.0;2;50.0;
null;1;560.0;1;0.76;0.13;0.11;BT3;0.0;0.0;2;50.0;
null;1;566.0;1;0.4;0.3;0.3;BT2;0.0;0.0;2;50.0;
null;1;572.0;1;0.4;0.3;0.3;BT3;0.0;0.0;2;50.0;
null;1;572.0;0;0.51;0.1;0.39;RT2;0.0;0.0;2;50.0;
null;1;578.0;1;0.4;0.3;0.3;BT3;0.0;0.0;2;50.0;
null;1;584.0;1;0.4;0.3;0.3;BT2;0.0;0.0;2;50.0;
null;1;590.0;1;0.4;0.3;0.3;BT2;0.0;0.0;2;50.0;
null;1;596.0;1;0.4;0.3;0.3;BT1;0.0;0.0;2;50.0;
null;1;602.0;1;0.4;0.3;0.3;BT1;0.0;0.0;2;50.0;
null;1;606.0;0;0.35;0.2;0.45;RT3;0.0;0.0;2;50.0;
null;1;608.0;1;0.4;0.3;0.3;BT2;0.0;0.0;2;50.0;
null;1;614.0;1;0.4;0.3;0.3;BT3;0.0;0.0;2;50.0;
null;1;620.0;1;0.29;0.41;0.3;BT2;0.0;0.0;2;50.0;
null;1;626.0;1;0.29;0.41;0.3;BT2;0.0;0.0;2;50.0;
null;1;632.0;1;0.29;0.41;0.3;BT2;0.0;0.0;2;50.0;
null;1;638.0;1;0.29;0.41;0.3;BT3;0.0;0.0;2;50.0;
null;1;640.0;0;0.35;0.2;0.45;RT3;0.0;0.0;2;50.0;
null;1;644.0;1;0.29;0.41;0.3;BT2;0.0;0.0;2;50.0;
null;1;650.0;1;0.29;0.41;0.3;BT1;0.0;0.0;2;50.0;
null;1;656.0;1;0.29;0.41;0.3;BT2;0.0;0.0;2;50.0;
null;1;662.0;1;0.29;0.41;0.3;BT2;0.0;0.0;2;50.0;
null;1;668.0;1;0.29;0.41;0.3;BT3;0.0;0.0;2;50.0;
null;1;674.0;1;0.44;0.51;0.05;BT2;0.0;0.0;2;50.0;
null;1;674.0;0;0.22;0.42;0.36;RT3;0.0;0.0;2;50.0;
null;1;680.0;1;0.44;0.51;0.05;BT2;0.0;0.0;2;50.0;
null;1;686.0;1;0.44;0.51;0.05;BT3;0.0;0.0;2;50.0;
null;1;691.0;0;0.22;0.42;0.36;RT1;0.0;0.0;2;50.0;
null;1;692.0;1;0.44;0.51;0.05;BT2;0.0;0.0;2;50.0;
null;1;698.0;1;0.44;0.51;0.05;BT2;0.0;0.0;2;50.0;
null;1;704.0;1;0.44;0.51;0.05;BT2;0.0;0.0;2;50.0;
null;1;710.0;1;0.44;0.51;0.05;BT3;0.0;0.0;2;50.0;
null;1;716.0;1;0.44;0.51;0.05;BT2;0.0;0.0;2;50.0;
null;1;722.0;1;0.44;0.51;0.05;BT3;0.0;0.0;2;50.0;
null;1;726.0;0;0.32;0.61;0.07;RT2;0.0;0.0;2;50.0;
null;1;728.0;1;0.43;0.1;0.46;BT1;0.0;0.0;2;50.0;
null;1;734.0;1;0.43;0.1;0.46;BT1;0.0;0.0;2;50.0;
null;1;740.0;1;0.43;0.1;0.46;BT1;0.0;0.0;2;50.0;
null;1;746.0;1;0.43;0.1;0.46;BT3;0.0;0.0;2;50.0;
null;1;752.0;1;0.43;0.1;0.46;BT3;0.0;0.0;2;50.0;
null;1;758.0;1;0.43;0.1;0.46;BT3;0.0;0.0;2;50.0;
null;1;761.0;0;0.32;0.61;0.07;RT2;0.0;0.0;2;50.0;
