prefix;runID;tick;strategistID;generation;p1;p2;p3;predictedProfit
null;1;18.0;1;0;0.37713423184479145;0.25621026113986567;0.36665550701534294;0.0
null;1;18.0;1;1;0.6051165816652987;0.25692647239257976;0.1379569459421215;0.0
null;1;18.0;1;2;0.3368598151695342;0.11697703163840323;0.5461631531920625;0.0
null;1;18.0;1;3;0.4183262605592271;0.21658256836112827;0.36509117107964456;0.0
null;1;18.0;1;4;0.3888893713237761;0.45105262326167106;0.16005800541455287;0.0
null;1;18.0;1;5;0.20916641263550825;0.7904809778951856;3.52609469306219E-4;0.0
null;1;18.0;1;6;0.23086549210096147;0.3179862545646975;0.45114825333434105;0.0
null;1;18.0;1;7;0.38840106640338296;0.5711337308868353;0.040465202709781774;0.0
null;1;18.0;1;8;0.10797886913936923;0.46793424746107715;0.42408688339955364;0.0
null;1;18.0;1;9;0.15209574703009526;0.4905766916490755;0.35732756132082927;0.0
null;1;74.0;1;0;0.4759697885296203;0.12223711884750568;0.4017930926228741;0.0
null;1;74.0;1;1;0.40933251549263083;0.14635032769341827;0.4443171568139509;0.0
null;1;74.0;1;2;0.49034489937705866;0.3143623105502403;0.19529279007270112;0.0
null;1;74.0;1;3;0.10546416250757253;0.7390436926699017;0.15549214482252588;0.0
null;1;74.0;1;4;0.26020617569971116;0.23340895254271263;0.5063848717575762;0.0
null;1;74.0;1;5;0.6435244314346884;0.09362825366677763;0.26284731489853397;0.0
null;1;74.0;1;6;0.08097485632974245;0.7693692869453127;0.14965585672494483;0.0
null;1;74.0;1;7;0.1603666574523024;0.5547639807860667;0.28486936176163097;0.0
null;1;74.0;1;8;0.4354638392808957;0.0475652726111127;0.5169708881079916;0.0
null;1;74.0;1;9;0.09296247132184576;0.826430575817799;0.08060695286035519;0.0
null;1;105.0;0;0;0.2817051949728523;0.4250845992835149;0.29321020574363277;0.0
null;1;105.0;0;1;0.35181895550328485;0.25456548043394234;0.3936155640627728;0.0
null;1;105.0;0;2;0.34112449325509675;0.2768263756714815;0.3820491310734217;0.0
null;1;105.0;0;3;0.5744035668444404;0.11116582706759712;0.31443060608796247;0.0
null;1;105.0;0;4;0.1539972308899217;0.550332778182717;0.2956699909273613;0.0
null;1;105.0;0;5;0.4634291245476657;0.4686069751200177;0.06796390033231656;0.0
null;1;105.0;0;6;0.43520653865582615;0.14147637213841704;0.4233170892057569;0.0
null;1;105.0;0;7;0.20832612333498385;0.46539471742602884;0.32627915923898737;0.0
null;1;105.0;0;8;0.0045037783509317315;0.4731577990821989;0.5223384225668695;0.0
null;1;105.0;0;9;0.09110251303033;0.8113664884029494;0.09753099856672058;0.0
null;1;128.0;1;0;0.11517646088884093;0.3992145863918972;0.4856089527192619;0.0
null;1;128.0;1;1;0.29037341955579987;0.48375979449734163;0.22586678594685852;0.0
null;1;128.0;1;2;0.4805796908971591;0.18525942053668623;0.3341608885661546;0.0
